iter	Passed	Remaining
400	13032	1690
401	13055	1656
402	13079	1622
403	13126	1592
404	13164	1560
405	13203	1528
406	13240	1496
407	13264	1463
408	13294	1430
409	13324	1397
410	13360	1365
411	13395	1333
412	13428	1300
413	13463	1268
414	13491	1235
415	13525	1203
416	13554	1170
417	13590	1137
418	13615	1104
419	13640	1071
420	13678	1039
421	13716	1007
422	13735	974
423	13754	940
424	13775	907
425	13797	874
426	13824	841
427	13847	808
428	13870	775
429	13894	743
430	13940	711
431	13966	678
432	13989	646
433	14009	613
434	14042	581
435	14083	549
436	14114	516
437	14135	484
438	14158	451
439	14182	419
440	14207	386
441	14229	354
442	14251	321
443	14302	289
444	14348	257
445	14380	225
446	14401	193
447	14430	161
448	14500	129
449	14524	96
450	14544	64
451	14599	32
452	14699	0
