iter	Logloss
237	0.1519000039
238	0.1518378644
239	0.151775301
240	0.1517053229
241	0.1516217425
242	0.1515132196
243	0.1514234329
244	0.1513294476
245	0.1512441332
246	0.1511622561
247	0.1511024945
248	0.1510064346
249	0.1509508174
250	0.150889677
251	0.1508020759
252	0.1506917317
253	0.1506347794
254	0.1505294397
255	0.1504719951
256	0.1503617126
257	0.1502681339
258	0.1501773049
259	0.1501208685
260	0.1500627553
261	0.1499809662
262	0.1499112072
263	0.1498411837
264	0.1497601918
265	0.1496458483
266	0.1496051194
267	0.1495199455
268	0.1494554649
269	0.149358605
270	0.1492884513
271	0.1491764508
272	0.1491006504
273	0.1489946644
274	0.1489168659
275	0.148881947
276	0.1487934435
277	0.1487427207
278	0.1486454829
279	0.1485549517
280	0.1484354215
281	0.1483341343
282	0.1482401075
283	0.1481596266
284	0.1480655909
285	0.1480073786
286	0.1479651993
287	0.1478951472
288	0.1478512101
289	0.1477923256
290	0.1477139132
291	0.1476239932
292	0.1475493078
293	0.1474222323
294	0.1473289594
295	0.147257431
296	0.1471811981
297	0.1470735654
298	0.1469763491
299	0.1469274056
300	0.1468825557
301	0.146815747
302	0.1467498717
303	0.1466712931
304	0.1465436641
305	0.1464743044
306	0.1464418934
307	0.1463669349
308	0.1462306425
309	0.1461744841
310	0.1460678018
311	0.1459823237
312	0.1459220304
313	0.1458425203
314	0.1457798731
315	0.1457381103
316	0.1456594461
317	0.145583806
318	0.1455422066
319	0.1455109823
320	0.1454031727
321	0.1453434828
322	0.1452469544
323	0.1451861236
324	0.1450987681
325	0.1450263432
326	0.1449530788
327	0.1449025633
328	0.1448495712
329	0.1447539433
330	0.1446948841
331	0.1446288079
332	0.1445447316
333	0.1444194617
334	0.1443190758
335	0.1442193552
336	0.1441241935
337	0.1440613538
338	0.1439615184
339	0.143886619
340	0.1438483656
341	0.1437428682
342	0.1437065869
343	0.1436034435
344	0.1435609215
345	0.1435150183
346	0.1434576593
347	0.1434152697
348	0.1433062888
349	0.143199002
350	0.1430915219
351	0.1430506253
352	0.1429498133
353	0.1428174106
354	0.1427778469
355	0.1427085983
356	0.1426310429
357	0.1425408094
358	0.1424354102
359	0.1423569527
360	0.1422364775
361	0.1421354583
362	0.1420374298
363	0.1419576258
364	0.1418732127
365	0.1417490579
366	0.1416647043
367	0.1416159736
368	0.1415569611
369	0.1415133805
370	0.1413870925
371	0.1412969739
372	0.1412344816
373	0.1411362058
374	0.141042143
375	0.1409513665
376	0.1408575603
377	0.1407503925
378	0.1406871094
379	0.1406225131
380	0.1405647284
381	0.1405274582
382	0.1404571711
383	0.1403750891
384	0.1402780171
385	0.1401862983
386	0.1401214244
387	0.1400788912
388	0.1400095063
389	0.1399059188
390	0.1398373864
391	0.1397479951
392	0.1396052584
393	0.1395222911
394	0.1394568845
395	0.1393840253
396	0.1392822961
397	0.1392319173
398	0.1391496979
399	0.139034197
400	0.1389327267
401	0.1388198692
402	0.1387394743
403	0.1386626658
404	0.1385376613
405	0.1384470432
406	0.1383807441
407	0.1383204953
408	0.1382292917
409	0.1381214994
410	0.1380316199
411	0.1379469735
412	0.1378985453
413	0.1378246664
414	0.1377532743
415	0.1376477903
416	0.1375657761
417	0.1374843538
418	0.1374333249
419	0.1373896969
420	0.1373310289
421	0.1372498346
422	0.1372164209
423	0.1371815583
424	0.1371488731
425	0.1370604139
426	0.1370000607
427	0.1369420562
428	0.1368674965
429	0.1367638424
430	0.1366826048
431	0.1365946993
432	0.1364989136
433	0.1364178954
434	0.1363309929
435	0.136258177
436	0.1361721309
437	0.1360430313
438	0.1359781462
439	0.1359064465
440	0.1358564926
441	0.1357775497
442	0.1356816684
443	0.1355851037
444	0.135546233
445	0.1354921183
446	0.135400528
447	0.1353543565
448	0.1352657037
449	0.1351937712
450	0.1350883306
451	0.1349943997
452	0.1349021753
